Home,Away,Home_Score,Away_Score
San Diego State,Long Beach State,81,65
Arkansas-Pine Bluff,Colorado State,51,82
Austin College,Louisiana Tech,58,90
Binghamton,Colgate,62,60
Bluefield (WV),Duquesne,67,110
Bryant,Kent State,49,90
Cal State Fullerton,Hawaii,70,84
UC-Davis,Portland,60,75
UC-Irvine,USC,49,62
UCSB,North Dakota State,60,68
Central Connecticut,Hartford,64,62
College of Charleston,Holy Cross,93,84
Dartmouth,Providence,52,87
Davidson,Penn,64,69
Delaware,Ohio,69,88
Denver,Oregon,56,68
Detroit,New Mexico,54,63
Eastern Oregon,Idaho,74,86
Edward Waters,Bethune-Cookman,49,85
Emory & Henry,Radford,54,57
Farmingdale State,Hofstra,62,102
Ferrum,High Point,57,90
Florida Atlantic,Milwaukee,85,76
Harvard,George Mason,53,66
Hendrix,Central Arkansas,46,87
Houston Baptist,Oklahoma State,73,86
Indiana State,Loyola (IL),74,86
Iona,Cleveland State,68,78
Kean,Wyoming,58,92
LaGrange,Coastal Carolina,40,79
Lesley,New Hampshire,47,79
Manhattan,NJIT,75,70
Mary Hardin-Baylor,Sam Houston State,47,72
Mary Washington,Gardner-Webb,61,76
Minnesota-Duluth,Green Bay,36,75
Montana,Nevada,66,81
Mount St. Mary's,Dayton,52,67
Navy,Buffalo,46,88
Northeastern State,Texas A&M-Corpus Christi,74,81
Oakland City,Evansville,42,82
Queens (NC),Winthrop,61,70
Quinnipiac,Yale,84,75
Sacred Heart,Fairfield,45,62
St. Peter's,Robert Morris,30,55
South Carolina State,Charlotte,81,90
USC Upstate,Michigan,35,66
Southeast Missouri State,Alabama-Birmingham,56,78
Southern,Washington State,47,86
Talladega,Alabama A&M,77,93
Texas-Rio Grande Valley,Eastern Kentucky,67,53
Texas Southern,Drake,46,60
Vermont,Siena,80,76
Washington Adventist,Delaware State,56,63
Weber State,Utah State,65,77
West Alabama,Jacksonville State,58,79
Western State,Boise State,52,78
Princeton,Duke,60,97
Canisius,Syracuse,67,86
IUPUI,Gonzaga,56,86
Howard,Purdue,40,76
Toledo,Temple,49,82
Alabama State,Iowa State,47,74
Alcorn State,Houston,68,88
Little Rock,St. Bonaventure,64,77
Bryant,Iona,74,72
Bucknell,Marquette,61,72
Cal Poly,Seattle,76,60
Cal State Bakersfield,Sacramento State,80,78
UCSB,Oregon,70,72
Chicago State,DePaul,81,114
Colorado-Colorado Springs,Air Force,53,66
Cornell,Seton Hall,68,92
Eastern Illinois,Ball State,46,77
Eastern Kentucky,Indiana State,64,59
Florida Atlantic,Portland,75,89
Florida State,UNC Greensboro,97,73
Grambling,Rice,57,86
Idaho State,Arizona,42,90
Kent State,Cleveland State,66,69
La Sierra,Loyola Marymount,62,100
Lafayette,Rider,73,80
Liberty,Notre Dame,51,72
Maine,Maryland,59,89
Mercer,UTEP,74,87
Methodist,Radford,74,83
Milwaukee,UC-Davis,73,62
Montana State,Central Michigan,65,58
Mount Ida College,Stony Brook,43,80
North Carolina A&T,Morehead State,61,84
North Dakota State,Denver,65,54
Northern Arizona,Creighton,70,74
Prairie View,Wisconsin,55,99
South Dakota State,Iowa,79,69
SIU-Edwardsville,Illinois State,64,92
Texas-Arlington,Oregon State,56,71
Texas-Rio Grande Valley,Loyola (IL),57,79
VMI,UMBC,94,77
Western Illinois,Savannah State,59,52
Wright State,Indiana,44,67
Valparaiso,Kansas,44,79
Miami (FL),Memphis,68,72
Tulane,Georgetown,53,69
Alabama A&M,Western Kentucky,61,83
American,Albany (NY),57,44
Arkansas-Pine Bluff,Nebraska,40,83
Austin Peay,Chattanooga,70,67
Barry,Florida International,54,69
California Baptist,Southern Utah,79,69
Campbell,East Carolina,63,76
Carver Bible,Georgia Southern,83,91
Centenary (LA),UT-Martin,56,79
Central Connecticut,Army,101,87
Colgate,Saint Francis (PA),66,69
TCNJ,Elon,68,99
ETSU,Murray State,39,50
Fairfield,Rutgers,53,68
Fisk,Tennessee State,50,85
Georgia Tech,Kennesaw State,63,80
Glenville State,Marshall,48,93
Hampton,Wake Forest,56,63
High Point,Old Dominion,57,79
Houston Baptist,Northwestern State,78,87
Jackson State,UCF,39,80
Longwood,Stephen F. Austin,54,80
Louisiana College,Louisiana,66,91
Maryland-Eastern Shore,Columbia,74,108
Montana State,Cal State Fullerton,80,76
Mount St. Mary's,Cincinnati,59,69
North Carolina Central,Oklahoma,63,71
Northwest Oklahoma State,Sam Houston State,68,90
NYU-Poly,NJIT,49,96
Oakland,Ohio,78,66
Ohio Dominican,Bowling Green State,55,81
Pacific,Nevada,64,53
Pepperdine,UCLA,69,79
Pomona-Pitzer,UC-Riverside,48,81
Rockhurst,Saint Louis,45,72
