Year,Home,Away,Home_Score,Away_Score,Rank_Home,Team_Home,Conf_Home,Wins_Home,Losses_Home,AdjEM_Home,AdjO_Home,AdjO Rank_Home,AdjD_Home,AdjD Rank_Home,AdjT_Home,AdjT Rank_Home,Luck_Home,Luck Rank_Home,OppAdjEM_Home,OppAdjEM Rank_Home,OppO_Home,OppO Rank_Home,OppD_Home,OppD Rank_Home,NCSOS AdjEM_Home,NCSOS AdjEM Rank_Home,Rank_Away,Team_Away,Conf_Away,Wins_Away,Losses_Away,AdjEM_Away,AdjO_Away,AdjO Rank_Away,AdjD_Away,AdjD Rank_Away,AdjT_Away,AdjT Rank_Away,Luck_Away,Luck Rank_Away,OppAdjEM_Away,OppAdjEM Rank_Away,OppO_Away,OppO Rank_Away,OppD_Away,OppD Rank_Away,NCSOS AdjEM_Away,NCSOS AdjEM Rank_Away
2010,Washington,Marquette,80,78,32,Washington,P10,26,10,18.19,111.7,44,93.6,33,71.7,10,0.028999999999999998,94,6.97,57,106.7,44,99.7,62,1.13,126,24,Marquette,BE,22,12,19.65,115.1,21,95.5,55,62.3,305,-0.064,312,9.05,23,108.0,17,98.9,44,-6.52,311
2010,Washington,New Mexico,82,64,32,Washington,P10,26,10,18.19,111.7,44,93.6,33,71.7,10,0.028999999999999998,94,6.97,57,106.7,44,99.7,62,1.13,126,43,New Mexico,MWC,30,5,16.18,113.6,26,97.4,74,67.4,98,0.096,13,4.09,90,105.0,92,100.9,96,1.85,109
2010,Florida,BYU,92,99,50,Florida,SEC,21,13,15.23,113.0,31,97.8,83,63.9,262,-0.061,309,7.75,51,106.6,48,98.8,42,-1.96,216,10,BYU,MWC,30,6,23.27,117.3,10,94.0,37,71.1,15,0.012,130,3.88,98,104.9,96,101.0,99,-0.03,148
2010,Kansas State,BYU,84,72,6,Kansas State,B12,29,8,25.52,116.1,15,90.6,12,69.4,36,-0.008,192,11.99,2,109.5,2,97.5,10,2.37,96,10,BYU,MWC,30,6,23.27,117.3,10,94.0,37,71.1,15,0.012,130,3.88,98,104.9,96,101.0,99,-0.03,148
2010,Saint Mary's,Richmond,80,71,29,Saint Mary's,WCC,28,6,18.59,116.5,14,97.9,85,66.2,158,0.038,82,2.72,115,105.4,81,102.7,166,1.18,123,54,Richmond,A10,26,9,15.01,108.8,77,93.8,35,62.5,301,0.047,64,5.7,70,105.4,80,99.7,63,2.39,95
2010,Northern Iowa,UNLV,69,66,27,Northern Iowa,MVC,30,5,18.87,109.6,67,90.8,13,58.9,340,0.034,85,4.08,92,105.7,73,101.6,115,-1.58,200,41,UNLV,MWC,25,9,16.56,110.6,55,94.0,40,66.3,156,-0.013000000000000001,205,4.08,91,104.8,104,100.7,93,0.67,135
2010,Wake Forest,Texas,81,80,58,Wake Forest,ACC,20,11,14.12,107.1,106,93.0,29,68.7,58,0.067,39,10.51,9,107.4,28,96.9,3,-0.82,165,19,Texas,B12,24,10,20.75,113.9,24,93.1,30,71.5,11,-0.013999999999999999,209,9.01,27,107.2,35,98.2,18,-1.32,195
2010,Wake Forest,Kentucky,60,90,58,Wake Forest,ACC,20,11,14.12,107.1,106,93.0,29,68.7,58,0.067,39,10.51,9,107.4,28,96.9,3,-0.82,165,4,Kentucky,SEC,35,3,26.54,114.9,22,88.3,6,68.3,66,0.06,43,7.06,55,106.5,50,99.5,57,-1.28,194
2010,West Virginia,Kentucky,73,66,5,West Virginia,BE,31,7,25.54,117.2,12,91.7,21,62.6,296,0.057,45,12.58,1,110.0,1,97.5,7,5.45,50,4,Kentucky,SEC,35,3,26.54,114.9,22,88.3,6,68.3,66,0.06,43,7.06,55,106.5,50,99.5,57,-1.28,194
2010,Southern Miss,Louisiana Tech,57,66,99,Southern Miss,CUSA,20,14,7.6,103.7,158,96.1,60,61.0,327,-0.051,300,2.64,119,103.4,151,100.8,94,-3.1,250,113,Louisiana Tech,WAC,24,11,5.99,105.4,139,99.4,103,67.6,89,0.109,9,1.15,145,104.9,94,103.8,206,-3.87,262
