Year,Home,Away,Home_Score,Away_Score,Team_Home,G_Home,SRS_Home,SOS_Home,Tm._Home,Opp._Home,MP_Home,FG_opp_Home,FGA_opp_Home,FG%_opp_Home,3P_opp_Home,3PA_opp_Home,3P%_opp_Home,FT_opp_Home,FTA_opp_Home,FT%_opp_Home,ORB_opp_Home,TRB_opp_Home,AST_opp_Home,STL_opp_Home,BLK_opp_Home,TOV_opp_Home,PF_opp_Home,FG_Home,FGA_Home,FG%_Home,3P_Home,3PA_Home,3P%_Home,FT_Home,FTA_Home,FT%_Home,ORB_Home,TRB_Home,AST_Home,STL_Home,BLK_Home,TOV_Home,PF_Home,Team_Away,G_Away,SRS_Away,SOS_Away,Tm._Away,Opp._Away,MP_Away,FG_opp_Away,FGA_opp_Away,FG%_opp_Away,3P_opp_Away,3PA_opp_Away,3P%_opp_Away,FT_opp_Away,FTA_opp_Away,FT%_opp_Away,ORB_opp_Away,TRB_opp_Away,AST_opp_Away,STL_opp_Away,BLK_opp_Away,TOV_opp_Away,PF_opp_Away,FG_Away,FGA_Away,FG%_Away,3P_Away,3PA_Away,3P%_Away,FT_Away,FTA_Away,FT%_Away,ORB_Away,TRB_Away,AST_Away,STL_Away,BLK_Away,TOV_Away,PF_Away
2012,Princeton,Pitt,61,82,Princeton,32,2.57,-1.0,2141,1999,1300,731,1723,0.424,147,430,0.342,390,595,0.655,329,1051,311,196,103,385,504,776,1681,0.462,236,628,0.376,353,520,0.679,266,980,465,203,124,394,524,Pitt,39,9.43,5.89,2692,2554,1565,915,2077,0.441,229,686,0.33399999999999996,495,694,0.713,393,1158,517,235,154,431,641,981,2164,0.45299999999999996,247,707,0.349,483,691,0.6990000000000001,532,1286,593,183,103,495,671
2012,Washington State,Pitt,53,57,Washington State,37,6.17,4.06,2521,2421,1485,839,1969,0.426,257,735,0.35,486,723,0.672,385,1142,502,226,105,435,704,860,1836,0.46799999999999997,228,623,0.366,573,808,0.7090000000000001,339,1107,505,178,103,485,643,Pitt,39,9.43,5.89,2692,2554,1565,915,2077,0.441,229,686,0.33399999999999996,495,694,0.713,393,1158,517,235,154,431,641,981,2164,0.45299999999999996,247,707,0.349,483,691,0.6990000000000001,532,1286,593,183,103,495,671
2012,Washington State,Pitt,65,71,Washington State,37,6.17,4.06,2521,2421,1485,839,1969,0.426,257,735,0.35,486,723,0.672,385,1142,502,226,105,435,704,860,1836,0.46799999999999997,228,623,0.366,573,808,0.7090000000000001,339,1107,505,178,103,485,643,Pitt,39,9.43,5.89,2692,2554,1565,915,2077,0.441,229,686,0.33399999999999996,495,694,0.713,393,1158,517,235,154,431,641,981,2164,0.45299999999999996,247,707,0.349,483,691,0.6990000000000001,532,1286,593,183,103,495,671
2012,TCU,Oregon State,81,101,TCU,33,1.72,3.44,2382,2379,1345,842,1762,0.478,194,519,0.374,501,724,0.6920000000000001,313,1126,486,186,108,514,614,819,1884,0.435,239,668,0.358,505,731,0.691,357,1006,445,228,80,455,628,Oregon State,36,8.84,3.38,2841,2617,1470,932,2047,0.455,237,611,0.38799999999999996,516,772,0.6679999999999999,422,1246,470,229,112,598,755,995,2093,0.475,221,616,0.359,630,931,0.677,421,1160,567,328,166,507,672
2012,Washington State,Oregon State,72,55,Washington State,37,6.17,4.06,2521,2421,1485,839,1969,0.426,257,735,0.35,486,723,0.672,385,1142,502,226,105,435,704,860,1836,0.46799999999999997,228,623,0.366,573,808,0.7090000000000001,339,1107,505,178,103,485,643,Oregon State,36,8.84,3.38,2841,2617,1470,932,2047,0.455,237,611,0.38799999999999996,516,772,0.6679999999999999,422,1246,470,229,112,598,755,995,2093,0.475,221,616,0.359,630,931,0.677,421,1160,567,328,166,507,672
2012,Wyoming,Washington State,41,61,Wyoming,33,6.79,1.43,2068,1855,1325,642,1564,0.41,161,526,0.306,410,580,0.7070000000000001,274,1000,299,179,76,471,600,710,1585,0.44799999999999995,197,602,0.327,451,610,0.7390000000000001,227,884,373,227,104,388,557,Washington State,37,6.17,4.06,2521,2421,1485,839,1969,0.426,257,735,0.35,486,723,0.672,385,1142,502,226,105,435,704,860,1836,0.46799999999999997,228,623,0.366,573,808,0.7090000000000001,339,1107,505,178,103,485,643
2012,Pitt,Washington State,66,67,Pitt,39,9.43,5.89,2692,2554,1565,915,2077,0.441,229,686,0.33399999999999996,495,694,0.713,393,1158,517,235,154,431,641,981,2164,0.45299999999999996,247,707,0.349,483,691,0.6990000000000001,532,1286,593,183,103,495,671,Washington State,37,6.17,4.06,2521,2421,1485,839,1969,0.426,257,735,0.35,486,723,0.672,385,1142,502,226,105,435,704,860,1836,0.46799999999999997,228,623,0.366,573,808,0.7090000000000001,339,1107,505,178,103,485,643
2012,Pitt,Butler,68,62,Pitt,39,9.43,5.89,2692,2554,1565,915,2077,0.441,229,686,0.33399999999999996,495,694,0.713,393,1158,517,235,154,431,641,981,2164,0.45299999999999996,247,707,0.349,483,691,0.6990000000000001,532,1286,593,183,103,495,671,Butler,37,2.86,1.14,2352,2245,1495,754,1835,0.41100000000000003,189,617,0.306,548,811,0.6759999999999999,332,1176,393,216,110,521,725,823,2014,0.409,183,651,0.281,523,806,0.649,468,1201,454,239,123,485,715
2012,Stanford,UMass,74,64,Stanford,37,12.64,3.99,2657,2337,1505,821,1987,0.413,207,618,0.335,488,751,0.65,362,1202,396,245,143,560,708,938,2107,0.445,252,665,0.379,529,794,0.6659999999999999,451,1227,475,246,126,512,716,UMass,37,7.49,2.97,2847,2680,1500,920,2253,0.408,242,787,0.307,598,863,0.693,501,1450,546,270,149,615,699,1016,2341,0.434,288,825,0.349,527,783,0.6729999999999999,499,1302,565,326,176,548,759
2012,Stanford,Minnesota,75,51,Stanford,37,12.64,3.99,2657,2337,1505,821,1987,0.413,207,618,0.335,488,751,0.65,362,1202,396,245,143,560,708,938,2107,0.445,252,665,0.379,529,794,0.6659999999999999,451,1227,475,246,126,512,716,Minnesota,38,10.7,7.89,2569,2462,1555,842,2033,0.414,246,711,0.34600000000000003,532,746,0.713,425,1184,445,297,141,492,702,915,1979,0.462,203,571,0.35600000000000004,536,769,0.6970000000000001,435,1184,573,269,186,558,703
2012,Washington,Minnesota,67,68,Washington,35,10.79,5.27,2646,2453,1410,866,2053,0.42200000000000004,203,620,0.327,518,789,0.657,412,1223,440,196,128,482,631,966,2157,0.44799999999999995,217,633,0.34299999999999997,497,798,0.623,510,1294,475,233,139,460,693,Minnesota,38,10.7,7.89,2569,2462,1555,842,2033,0.414,246,711,0.34600000000000003,532,746,0.713,425,1184,445,297,141,492,702,915,1979,0.462,203,571,0.35600000000000004,536,769,0.6970000000000001,435,1184,573,269,186,558,703
